"state","lga","intervention","intervention_mix_to_show","intervention_summary","plan","plan_description"
"Benue","Logo","lsm","LSM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Logo","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Logo","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Makurdi","cm_public","CM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Makurdi","iptp","IPTp","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Makurdi","smc","SMC","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Makurdi","vacc","Vaccine","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Makurdi","lsm","LSM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Makurdi","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Makurdi","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Obi","cm_public","CM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Obi","iptp","IPTp","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Obi","pmc","PMC","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Obi","vacc","Vaccine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Obi","lsm","LSM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Obi","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Obi","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ogbadibo","cm_public","CM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ogbadibo","iptp","IPTp","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ogbadibo","pmc","PMC","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ogbadibo","vacc","Vaccine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ogbadibo","lsm","LSM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ogbadibo","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ogbadibo","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ohimini","cm_public","CM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ohimini","iptp","IPTp","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ohimini","pmc","PMC","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ohimini","vacc","Vaccine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ohimini","lsm","LSM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ohimini","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ohimini","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Oju","cm_public","CM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Oju","iptp","IPTp","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Oju","pmc","PMC","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Oju","vacc","Vaccine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Oju","lsm","LSM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Oju","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Oju","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Okpokwu","cm_public","CM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Okpokwu","iptp","IPTp","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Okpokwu","pmc","PMC","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Okpokwu","vacc","Vaccine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Okpokwu","lsm","LSM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Okpokwu","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Okpokwu","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Oturkpo","cm_public","CM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Oturkpo","iptp","IPTp","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Oturkpo","pmc","PMC","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Oturkpo","vacc","Vaccine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Oturkpo","lsm","LSM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Oturkpo","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Oturkpo","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Tarka","cm_public","CM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Tarka","iptp","IPTp","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Tarka","smc","SMC","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Tarka","vacc","Vaccine","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Tarka","lsm","LSM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Tarka","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Tarka","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ukum","cm_public","CM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ukum","iptp","IPTp","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ukum","smc","SMC","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ukum","vacc","Vaccine","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ukum","lsm","LSM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ukum","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ukum","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ushongo","cm_public","CM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ushongo","iptp","IPTp","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ushongo","pmc","PMC","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ushongo","vacc","Vaccine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ushongo","lsm","LSM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ushongo","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Ushongo","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Vandeikya","cm_public","CM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Vandeikya","iptp","IPTp","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Vandeikya","pmc","PMC","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Vandeikya","vacc","Vaccine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Vandeikya","lsm","LSM","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Vandeikya","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Benue","Vandeikya","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Abaji","cm_public","CM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Abaji","iptp","IPTp","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Abaji","smc","SMC","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Abaji","vacc","Vaccine","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Abaji","lsm","LSM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Abaji","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Abaji","itn_routine_urban","ITN Routine Urban","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Abuja Municipal","cm_public","CM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Abuja Municipal","iptp","IPTp","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Abuja Municipal","smc","SMC","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Abuja Municipal","vacc","Vaccine","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Abuja Municipal","lsm","LSM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Abuja Municipal","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Abuja Municipal","itn_routine_urban","ITN Routine Urban","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Bwari","cm_public","CM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Bwari","iptp","IPTp","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Bwari","smc","SMC","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Bwari","vacc","Vaccine","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Bwari","lsm","LSM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Bwari","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Bwari","itn_routine_urban","ITN Routine Urban","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Gwagwalada","cm_public","CM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Gwagwalada","iptp","IPTp","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Gwagwalada","smc","SMC","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Gwagwalada","vacc","Vaccine","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Gwagwalada","lsm","LSM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Gwagwalada","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Gwagwalada","itn_routine_urban","ITN Routine Urban","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Kuje","cm_public","CM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Kuje","iptp","IPTp","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Kuje","smc","SMC","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Kuje","vacc","Vaccine","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Kuje","lsm","LSM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Kuje","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Kuje","itn_routine_urban","ITN Routine Urban","CM + IPTp + SMC + Vaccine + LSM + ITN Routine Urban","baseline","Costed Operational Plan Baseline"
"Federal Capital Territory","Kwali","cm_public","CM","CM + IPTp + SMC + Vaccine + LSM + ITN Routine","baseline","Costed Operational Plan Baseline"
