"intervention","state","lga","total_cost","target_value","state_count","lga_count","intervention_type","title","currency","target","cost_per_target"
"cb","Abia","Bende",25982736,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Abia","Bende",16239.21,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Abia","Bende",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Abia","Bende",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Abia","Bende",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Abia","Bende",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Abia","Bende",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Abia","Bende",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Abia","Bende",22049867.0605613,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Abia","Bende",13781.1669128508,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Abia","Ikwuano",18987384,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Abia","Ikwuano",11867.115,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Abia","Ikwuano",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Abia","Ikwuano",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Abia","Ikwuano",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Abia","Ikwuano",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Abia","Ikwuano",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Abia","Ikwuano",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Abia","Ikwuano",16961436.2004318,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Abia","Ikwuano",10600.8976252699,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Abia","Isiala Ngwa North",28481076,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Abia","Isiala Ngwa North",17800.6725,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Abia","Isiala Ngwa North",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Abia","Isiala Ngwa North",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Abia","Isiala Ngwa North",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Abia","Isiala Ngwa North",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Abia","Isiala Ngwa North",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Abia","Isiala Ngwa North",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Abia","Isiala Ngwa North",16961436.2004318,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Abia","Isiala Ngwa North",10600.8976252699,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Abia","Isiala Ngwa South",22984728,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Abia","Isiala Ngwa South",14365.455,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Abia","Isiala Ngwa South",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Abia","Isiala Ngwa South",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Abia","Isiala Ngwa South",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Abia","Isiala Ngwa South",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Abia","Isiala Ngwa South",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Abia","Isiala Ngwa South",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Abia","Isiala Ngwa South",16961436.2004318,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Abia","Isiala Ngwa South",10600.8976252699,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Abia","Isuikwato",20986056,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Abia","Isuikwato",13116.285,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Abia","Isuikwato",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Abia","Isuikwato",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Abia","Isuikwato",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Abia","Isuikwato",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Abia","Isuikwato",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Abia","Isuikwato",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Abia","Isuikwato",16961436.2004318,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Abia","Isuikwato",10600.8976252699,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Abia","Obi Nwa",27481740,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Abia","Obi Nwa",17176.0875,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Abia","Obi Nwa",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Abia","Obi Nwa",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Abia","Obi Nwa",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Abia","Obi Nwa",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Abia","Obi Nwa",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Abia","Obi Nwa",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Abia","Obi Nwa",18657579.8204749,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Abia","Obi Nwa",11660.9873877968,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Abia","Ohafia",25483068,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Abia","Ohafia",15926.9175,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Abia","Ohafia",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Abia","Ohafia",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Abia","Ohafia",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Abia","Ohafia",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Abia","Ohafia",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Abia","Ohafia",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Abia","Ohafia",18657579.8204749,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Abia","Ohafia",11660.9873877968,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Abia","Osisioma Ngwa",26482404,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Abia","Osisioma Ngwa",16551.5025,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Abia","Osisioma Ngwa",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Abia","Osisioma Ngwa",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Abia","Osisioma Ngwa",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Abia","Osisioma Ngwa",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Abia","Osisioma Ngwa",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Abia","Osisioma Ngwa",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Abia","Osisioma Ngwa",16961436.2004318,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Abia","Osisioma Ngwa",10600.8976252699,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Abia","Ugwunagbo",14490372,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Abia","Ugwunagbo",9056.4825,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Abia","Ugwunagbo",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Abia","Ugwunagbo",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Abia","Ugwunagbo",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Abia","Ugwunagbo",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Abia","Ugwunagbo",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Abia","Ugwunagbo",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Abia","Ugwunagbo",16961436.2004318,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Abia","Ugwunagbo",10600.8976252699,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Abia","Ukwa East",16489044,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Abia","Ukwa East",10305.6525,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Abia","Ukwa East",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Abia","Ukwa East",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Abia","Ukwa East",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Abia","Ukwa East",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Abia","Ukwa East",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Abia","Ukwa East",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Abia","Ukwa East",16961436.2004318,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Abia","Ukwa East",10600.8976252699,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Abia","Ukwa West",18987384,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Abia","Ukwa West",11867.115,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Abia","Ukwa West",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Abia","Ukwa West",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Abia","Ukwa West",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Abia","Ukwa West",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Abia","Ukwa West",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Abia","Ukwa West",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Abia","Ukwa West",16961436.2004318,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Abia","Ukwa West",10600.8976252699,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Abia","Umu Nneochi",22984728,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Abia","Umu Nneochi",14365.455,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Abia","Umu Nneochi",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Abia","Umu Nneochi",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Abia","Umu Nneochi",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Abia","Umu Nneochi",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Abia","Umu Nneochi",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Abia","Umu Nneochi",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Abia","Umu Nneochi",20353723.4405181,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Abia","Umu Nneochi",12721.0771503238,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Abia","Umuahia North",24983400,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Abia","Umuahia North",15614.625,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Abia","Umuahia North",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Abia","Umuahia North",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Abia","Umuahia North",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Abia","Umuahia North",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Abia","Umuahia North",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Abia","Umuahia North",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Abia","Umuahia North",20353723.4405181,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Abia","Umuahia North",12721.0771503238,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Abia","Umuahia South",19986720,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Abia","Umuahia South",12491.7,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Abia","Umuahia South",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Abia","Umuahia South",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Abia","Umuahia South",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Abia","Umuahia South",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Abia","Umuahia South",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Abia","Umuahia South",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Abia","Umuahia South",16961436.2004318,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Abia","Umuahia South",10600.8976252699,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Adamawa","Demsa",30979416,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Adamawa","Demsa",19362.135,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Adamawa","Demsa",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Adamawa","Demsa",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Adamawa","Demsa",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Adamawa","Demsa",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Adamawa","Demsa",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Adamawa","Demsa",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Adamawa","Demsa",16961436.2004318,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Adamawa","Demsa",10600.8976252699,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Adamawa","Fufore",34477092,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Adamawa","Fufore",21548.1825,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Adamawa","Fufore",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Adamawa","Fufore",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Adamawa","Fufore",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Adamawa","Fufore",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Adamawa","Fufore",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Adamawa","Fufore",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Adamawa","Fufore",18657579.8204749,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Adamawa","Fufore",11660.9873877968,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Adamawa","Ganye",18487716,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Adamawa","Ganye",11554.8225,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Adamawa","Ganye",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Adamawa","Ganye",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Adamawa","Ganye",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Adamawa","Ganye",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Adamawa","Ganye",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Adamawa","Ganye",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Adamawa","Ganye",16961436.2004318,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Adamawa","Ganye",10600.8976252699,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Adamawa","Girei",12991368,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Adamawa","Girei",8119.605,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Adamawa","Girei",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Adamawa","Girei",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Adamawa","Girei",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Adamawa","Girei",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Adamawa","Girei",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Adamawa","Girei",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Adamawa","Girei",16961436.2004318,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Adamawa","Girei",10600.8976252699,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Adamawa","Gombi",13990704,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Adamawa","Gombi",8744.19,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Adamawa","Gombi",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Adamawa","Gombi",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Adamawa","Gombi",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Adamawa","Gombi",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Adamawa","Gombi",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Adamawa","Gombi",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Adamawa","Gombi",16961436.2004318,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Adamawa","Gombi",10600.8976252699,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Adamawa","Guyuk",20986056,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Adamawa","Guyuk",13116.285,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Adamawa","Guyuk",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Adamawa","Guyuk",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Adamawa","Guyuk",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Adamawa","Guyuk",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Adamawa","Guyuk",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Adamawa","Guyuk",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Adamawa","Guyuk",16961436.2004318,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Adamawa","Guyuk",10600.8976252699,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Adamawa","Hong",25483068,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Adamawa","Hong",15926.9175,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Adamawa","Hong",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Adamawa","Hong",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Adamawa","Hong",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Adamawa","Hong",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Adamawa","Hong",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Adamawa","Hong",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Adamawa","Hong",20353723.4405181,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Adamawa","Hong",12721.0771503238,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Adamawa","Jada",23484396,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Adamawa","Jada",14677.7475,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Adamawa","Jada",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Adamawa","Jada",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Adamawa","Jada",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Adamawa","Jada",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Adamawa","Jada",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Adamawa","Jada",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Adamawa","Jada",18657579.8204749,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Adamawa","Jada",11660.9873877968,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Adamawa","Lamurde",11492364,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Adamawa","Lamurde",7182.7275,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Adamawa","Lamurde",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Adamawa","Lamurde",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
