"state","lga","intervention","standardised_intervention","full_name","value","currency"
"Abia","Aba North","Public Sector Case Management","cm_public","CM IV Artesunate Procurement",18299243.7488837,"Naira"
"Abia","Aba North","Public Sector Case Management","cm_public","CM IV Artesunate Procurement",11437.0273430523,"USD"
"Abia","Aba North","Public Sector Case Management","cm_public","CM RAS Distribution",80275.2851701723,"Naira"
"Abia","Aba North","Public Sector Case Management","cm_public","CM RAS Distribution",50.1720532313577,"USD"
"Abia","Aba North","Public Sector Case Management","cm_public","CM RAS Prcurement",321101.140680689,"Naira"
"Abia","Aba North","Public Sector Case Management","cm_public","CM RAS Prcurement",200.688212925431,"USD"
"Abia","Aba North","Public Sector Case Management","cm_public","CM RDT Kits Distribution",3408222.71795907,"Naira"
"Abia","Aba North","Public Sector Case Management","cm_public","CM RDT Kits Distribution",2130.13919872442,"USD"
"Abia","Aba North","Public Sector Case Management","cm_public","CM RDT Kits Procurement",13632890.8718363,"Naira"
"Abia","Aba North","Public Sector Case Management","cm_public","CM RDT Kits Procurement",8520.55679489769,"USD"
"Abia","Aba South","IPTp","iptp","IPTp SP Distribution",13075526.256566,"Naira"
"Abia","Aba South","IPTp","iptp","IPTp SP Distribution",8172.20391035375,"USD"
"Abia","Aba South","IPTp","iptp","IPTp SP Procurement",52302105.0262639,"Naira"
"Abia","Aba South","IPTp","iptp","IPTp SP Procurement",32688.8156414149,"USD"
"Abia","Aba South","ITN Routine Urban","itn_routine","ITN Routine Net Operational",53019128.5953163,"Naira"
"Abia","Aba South","ITN Routine Urban","itn_routine","ITN Routine Net Operational",33136.9553720727,"USD"
"Abia","Aba South","ITN Routine Urban","itn_routine","ITN Routine Net Procurement",212076514.381265,"Naira"
"Abia","Aba South","ITN Routine Urban","itn_routine","ITN Routine Net Procurement",132547.821488291,"USD"
"Abia","Aba South","Malaria Vaccine","vacc","Malaria Vaccine Operational",30970839.2201737,"Naira"
"Abia","Aba South","Malaria Vaccine","vacc","Malaria Vaccine Operational",19356.7745126086,"USD"
"Abia","Aba South","Malaria Vaccine","vacc","Malaria Vaccine Procurement",528895207.781128,"Naira"
"Abia","Aba South","Malaria Vaccine","vacc","Malaria Vaccine Procurement",330559.504863205,"USD"
"Abia","Aba South","PMC","pmc","PMC Distribution",7470505.14839788,"Naira"
"Abia","Aba South","PMC","pmc","PMC Distribution",4669.06571774867,"USD"
"Abia","Aba South","PMC","pmc","PMC SP Procurement",215628947.930477,"Naira"
"Abia","Aba South","PMC","pmc","PMC SP Procurement",134768.092456548,"USD"
"Abia","Aba South","Private Sector Case Management","cm_private","CM Private",1004738165.87068,"Naira"
"Abia","Aba South","Private Sector Case Management","cm_private","CM Private",627961.353669175,"USD"
"Abia","Aba South","Public Sector Case Management","cm_public","CM AL Distribution",115058530.797687,"Naira"
"Abia","Aba South","Public Sector Case Management","cm_public","CM AL Distribution",71911.5817485544,"USD"
"Abia","Aba South","Public Sector Case Management","cm_public","CM AL Procurement",460234123.190748,"Naira"
"Abia","Aba South","Public Sector Case Management","cm_public","CM AL Procurement",287646.326994217,"USD"
"Abia","Aba South","Public Sector Case Management","cm_public","CM IV Artesunate Distribution",18301170.543951,"Naira"
"Abia","Aba South","Public Sector Case Management","cm_public","CM IV Artesunate Distribution",11438.2315899694,"USD"
"Abia","Aba South","Public Sector Case Management","cm_public","CM IV Artesunate Procurement",73204682.175804,"Naira"
"Abia","Aba South","Public Sector Case Management","cm_public","CM IV Artesunate Procurement",45752.9263598775,"USD"
"Abia","Aba South","Public Sector Case Management","cm_public","CM RAS Distribution",321134.950607617,"Naira"
"Abia","Aba South","Public Sector Case Management","cm_public","CM RAS Distribution",200.709344129761,"USD"
"Abia","Aba South","Public Sector Case Management","cm_public","CM RAS Prcurement",1284539.80243047,"Naira"
"Abia","Aba South","Public Sector Case Management","cm_public","CM RAS Prcurement",802.837376519044,"USD"
"Abia","Aba South","Public Sector Case Management","cm_public","CM RDT Kits Distribution",13634326.3293473,"Naira"
"Abia","Aba South","Public Sector Case Management","cm_public","CM RDT Kits Distribution",8521.45395584206,"USD"
"Abia","Aba South","Public Sector Case Management","cm_public","CM RDT Kits Procurement",54537305.3173893,"Naira"
"Abia","Aba South","Public Sector Case Management","cm_public","CM RDT Kits Procurement",34085.8158233683,"USD"
"Abia","Arochukwu","IPTp","iptp","IPTp SP Distribution",5180364.41999955,"Naira"
"Abia","Arochukwu","IPTp","iptp","IPTp SP Distribution",3237.72776249972,"USD"
"Abia","Arochukwu","IPTp","iptp","IPTp SP Procurement",20721457.6799982,"Naira"
"Abia","Arochukwu","IPTp","iptp","IPTp SP Procurement",12950.9110499989,"USD"
"Abia","Arochukwu","ITN Routine","itn_routine","ITN Routine Net Operational",21005533.694419,"Naira"
"Abia","Arochukwu","ITN Routine","itn_routine","ITN Routine Net Operational",13128.4585590119,"USD"
"Abia","Arochukwu","ITN Routine","itn_routine","ITN Routine Net Procurement",84022134.777676,"Naira"
"Abia","Arochukwu","ITN Routine","itn_routine","ITN Routine Net Procurement",52513.8342360475,"USD"
"Abia","Arochukwu","Malaria Vaccine","vacc","Malaria Vaccine Operational",12270269.6935925,"Naira"
"Abia","Arochukwu","Malaria Vaccine","vacc","Malaria Vaccine Operational",7668.91855849531,"USD"
"Abia","Arochukwu","Malaria Vaccine","vacc","Malaria Vaccine Procurement",209541846.541112,"Naira"
"Abia","Arochukwu","Malaria Vaccine","vacc","Malaria Vaccine Procurement",130963.654088195,"USD"
"Abia","Arochukwu","PMC","pmc","PMC Distribution",2959723.2502019,"Naira"
"Abia","Arochukwu","PMC","pmc","PMC Distribution",1849.82703137619,"USD"
"Abia","Arochukwu","PMC","pmc","PMC SP Procurement",85429565.7293375,"Naira"
"Abia","Arochukwu","PMC","pmc","PMC SP Procurement",53393.4785808359,"USD"
"Abia","Arochukwu","Private Sector Case Management","cm_private","CM Private",398065037.212431,"Naira"
"Abia","Arochukwu","Private Sector Case Management","cm_private","CM Private",248790.648257769,"USD"
"Abia","Arochukwu","Public Sector Case Management","cm_public","CM AL Distribution",45584790.0471655,"Naira"
"Abia","Arochukwu","Public Sector Case Management","cm_public","CM AL Distribution",28490.4937794784,"USD"
"Abia","Arochukwu","Public Sector Case Management","cm_public","CM AL Procurement",182339160.188662,"Naira"
"Abia","Arochukwu","Public Sector Case Management","cm_public","CM AL Procurement",113961.975117914,"USD"
"Abia","Arochukwu","Public Sector Case Management","cm_public","CM IV Artesunate Distribution",7250701.10907541,"Naira"
"Abia","Arochukwu","Public Sector Case Management","cm_public","CM IV Artesunate Distribution",4531.68819317213,"USD"
"Abia","Arochukwu","Public Sector Case Management","cm_public","CM IV Artesunate Procurement",29002804.4363016,"Naira"
"Abia","Arochukwu","Public Sector Case Management","cm_public","CM IV Artesunate Procurement",18126.7527726885,"USD"
"Abia","Arochukwu","Public Sector Case Management","cm_public","CM RAS Distribution",127229.760355582,"Naira"
"Abia","Arochukwu","Public Sector Case Management","cm_public","CM RAS Distribution",79.5186002222387,"USD"
"Abia","Arochukwu","Public Sector Case Management","cm_public","CM RAS Prcurement",508919.041422328,"Naira"
"Abia","Arochukwu","Public Sector Case Management","cm_public","CM RAS Prcurement",318.074400888955,"USD"
"Abia","Arochukwu","Public Sector Case Management","cm_public","CM RDT Kits Distribution",5401754.21021744,"Naira"
"Abia","Arochukwu","Public Sector Case Management","cm_public","CM RDT Kits Distribution",3376.0963813859,"USD"
"Abia","Arochukwu","Public Sector Case Management","cm_public","CM RDT Kits Procurement",21607016.8408697,"Naira"
"Abia","Arochukwu","Public Sector Case Management","cm_public","CM RDT Kits Procurement",13504.3855255436,"USD"
"Abia","Bende","IPTp","iptp","IPTp SP Distribution",5892599.90282648,"Naira"
"Abia","Bende","IPTp","iptp","IPTp SP Distribution",3682.87493926655,"USD"
"Abia","Bende","IPTp","iptp","IPTp SP Procurement",23570399.6113059,"Naira"
"Abia","Bende","IPTp","iptp","IPTp SP Procurement",14731.4997570662,"USD"
"Abia","Bende","ITN Routine","itn_routine","ITN Routine Net Operational",23893532.533868,"Naira"
"Abia","Bende","ITN Routine","itn_routine","ITN Routine Net Operational",14933.4578336675,"USD"
"Abia","Bende","ITN Routine","itn_routine","ITN Routine Net Procurement",95574130.1354721,"Naira"
"Abia","Bende","ITN Routine","itn_routine","ITN Routine Net Procurement",59733.8313346701,"USD"
"Abia","Bende","Malaria Vaccine","vacc","Malaria Vaccine Operational",13957278.7051387,"Naira"
"Abia","Bende","Malaria Vaccine","vacc","Malaria Vaccine Operational",8723.29919071169,"USD"
"Abia","Bende","Malaria Vaccine","vacc","Malaria Vaccine Procurement",238351236.410959,"Naira"
"Abia","Bende","Malaria Vaccine","vacc","Malaria Vaccine Procurement",148969.522756849,"USD"
"Abia","Bende","PMC","pmc","PMC Distribution",3366648.27462747,"Naira"
"Abia","Bende","PMC","pmc","PMC Distribution",2104.15517164217,"USD"
"Abia","Bende","PMC","pmc","PMC SP Procurement",97175065.2853195,"Naira"
"Abia","Bende","PMC","pmc","PMC SP Procurement",60734.4158033247,"USD"
"Abia","Bende","Private Sector Case Management","cm_private","CM Private",452794013.977262,"Naira"
"Abia","Bende","Private Sector Case Management","cm_private","CM Private",282996.258735789,"USD"
"Abia","Bende","Public Sector Case Management","cm_public","CM AL Distribution",51852130.0094784,"Naira"
"Abia","Bende","Public Sector Case Management","cm_public","CM AL Distribution",32407.581255924,"USD"
"Abia","Bende","Public Sector Case Management","cm_public","CM AL Procurement",207408520.037914,"Naira"
"Abia","Bende","Public Sector Case Management","cm_public","CM AL Procurement",129630.325023696,"USD"
"Abia","Bende","Public Sector Case Management","cm_public","CM IV Artesunate Distribution",8247582.05924928,"Naira"
"Abia","Bende","Public Sector Case Management","cm_public","CM IV Artesunate Distribution",5154.7387870308,"USD"
"Abia","Bende","Public Sector Case Management","cm_public","CM IV Artesunate Procurement",32990328.2369971,"Naira"
"Abia","Bende","Public Sector Case Management","cm_public","CM IV Artesunate Procurement",20618.9551481232,"USD"
"Abia","Bende","Public Sector Case Management","cm_public","CM RAS Distribution",144722.265216238,"Naira"
"Abia","Bende","Public Sector Case Management","cm_public","CM RAS Distribution",90.4514157601488,"USD"
"Abia","Bende","Public Sector Case Management","cm_public","CM RAS Prcurement",578889.060864953,"Naira"
"Abia","Bende","Public Sector Case Management","cm_public","CM RAS Prcurement",361.805663040596,"USD"
"Abia","Bende","Public Sector Case Management","cm_public","CM RDT Kits Distribution",6144428.02736695,"Naira"
"Abia","Bende","Public Sector Case Management","cm_public","CM RDT Kits Distribution",3840.26751710434,"USD"
"Abia","Bende","Public Sector Case Management","cm_public","CM RDT Kits Procurement",24577712.1094678,"Naira"
"Abia","Bende","Public Sector Case Management","cm_public","CM RDT Kits Procurement",15361.0700684174,"USD"
"Abia","Ikwuano","IPTp","iptp","IPTp SP Distribution",4218500.8322045,"Naira"
"Abia","Ikwuano","IPTp","iptp","IPTp SP Distribution",2636.56302012781,"USD"
"Abia","Ikwuano","IPTp","iptp","IPTp SP Procurement",16874003.328818,"Naira"
"Abia","Ikwuano","IPTp","iptp","IPTp SP Procurement",10546.2520805113,"USD"
"Abia","Ikwuano","ITN Routine","itn_routine","ITN Routine Net Operational",17105333.5608413,"Naira"
"Abia","Ikwuano","ITN Routine","itn_routine","ITN Routine Net Operational",10690.8334755258,"USD"
"Abia","Ikwuano","ITN Routine","itn_routine","ITN Routine Net Procurement",68421334.2433651,"Naira"
"Abia","Ikwuano","ITN Routine","itn_routine","ITN Routine Net Procurement",42763.3339021032,"USD"
"Abia","Ikwuano","Malaria Vaccine","vacc","Malaria Vaccine Operational",9991988.7322904,"Naira"
"Abia","Ikwuano","Malaria Vaccine","vacc","Malaria Vaccine Operational",6244.9929576815,"USD"
"Abia","Ikwuano","Malaria Vaccine","vacc","Malaria Vaccine Procurement",170635187.478842,"Naira"
"Abia","Ikwuano","Malaria Vaccine","vacc","Malaria Vaccine Procurement",106646.992174276,"USD"
"Abia","Ikwuano","PMC","pmc","PMC Distribution",2410176.96474582,"Naira"
"Abia","Ikwuano","PMC","pmc","PMC Distribution",1506.36060296614,"USD"
"Abia","Ikwuano","PMC","pmc","PMC SP Procurement",69567440.6095374,"Naira"
"Abia","Ikwuano","PMC","pmc","PMC SP Procurement",43479.6503809609,"USD"
"Abia","Ikwuano","Private Sector Case Management","cm_private","CM Private",324154355.679924,"Naira"
"Abia","Ikwuano","Private Sector Case Management","cm_private","CM Private",202596.472299952,"USD"
"Abia","Ikwuano","Public Sector Case Management","cm_public","CM AL Distribution",37120839.222707,"Naira"
"Abia","Ikwuano","Public Sector Case Management","cm_public","CM AL Distribution",23200.5245141919,"USD"
"Abia","Ikwuano","Public Sector Case Management","cm_public","CM AL Procurement",148483356.890828,"Naira"
"Abia","Ikwuano","Public Sector Case Management","cm_public","CM AL Procurement",92802.0980567675,"USD"
"Abia","Ikwuano","Public Sector Case Management","cm_public","CM IV Artesunate Distribution",5904427.98669043,"Naira"
"Abia","Ikwuano","Public Sector Case Management","cm_public","CM IV Artesunate Distribution",3690.26749168152,"USD"
"Abia","Ikwuano","Public Sector Case Management","cm_public","CM IV Artesunate Procurement",23617711.9467617,"Naira"
"Abia","Ikwuano","Public Sector Case Management","cm_public","CM IV Artesunate Procurement",14761.0699667261,"USD"
"Abia","Ikwuano","Public Sector Case Management","cm_public","CM RAS Distribution",103606.388745379,"Naira"
"Abia","Ikwuano","Public Sector Case Management","cm_public","CM RAS Distribution",64.7539929658619,"USD"
"Abia","Ikwuano","Public Sector Case Management","cm_public","CM RAS Prcurement",414425.554981515,"Naira"
"Abia","Ikwuano","Public Sector Case Management","cm_public","CM RAS Prcurement",259.015971863447,"USD"
"Abia","Ikwuano","Public Sector Case Management","cm_public","CM RDT Kits Distribution",4398784.09773504,"Naira"
"Abia","Ikwuano","Public Sector Case Management","cm_public","CM RDT Kits Distribution",2749.2400610844,"USD"
"Abia","Ikwuano","Public Sector Case Management","cm_public","CM RDT Kits Procurement",17595136.3909402,"Naira"
"Abia","Ikwuano","Public Sector Case Management","cm_public","CM RDT Kits Procurement",10996.9602443376,"USD"
"Abia","Isiala Ngwa North","IPTp","iptp","IPTp SP Distribution",4713657.75708366,"Naira"
"Abia","Isiala Ngwa North","IPTp","iptp","IPTp SP Distribution",2946.03609817729,"USD"
"Abia","Isiala Ngwa North","IPTp","iptp","IPTp SP Procurement",18854631.0283346,"Naira"
"Abia","Isiala Ngwa North","IPTp","iptp","IPTp SP Procurement",11784.1443927091,"USD"
"Abia","Isiala Ngwa North","ITN Routine","itn_routine","ITN Routine Net Operational",19113114.2160823,"Naira"
"Abia","Isiala Ngwa North","ITN Routine","itn_routine","ITN Routine Net Operational",11945.6963850514,"USD"
"Abia","Isiala Ngwa North","ITN Routine","itn_routine","ITN Routine Net Procurement",76452456.8643293,"Naira"
"Abia","Isiala Ngwa North","ITN Routine","itn_routine","ITN Routine Net Procurement",47782.7855402058,"USD"
"Abia","Isiala Ngwa North","Malaria Vaccine","vacc","Malaria Vaccine Operational",11164823.0189018,"Naira"
"Abia","Isiala Ngwa North","Malaria Vaccine","vacc","Malaria Vaccine Operational",6978.01438681363,"USD"
"Abia","Isiala Ngwa North","Malaria Vaccine","vacc","Malaria Vaccine Procurement",190663912.864692,"Naira"
"Abia","Isiala Ngwa North","Malaria Vaccine","vacc","Malaria Vaccine Procurement",119164.945540432,"USD"
"Abia","Isiala Ngwa North","PMC","pmc","PMC Distribution",2693077.42198111,"Naira"
"Abia","Isiala Ngwa North","PMC","pmc","PMC Distribution",1683.17338873819,"USD"
"Abia","Isiala Ngwa North","PMC","pmc","PMC SP Procurement",77733090.2879637,"Naira"
"Abia","Isiala Ngwa North","PMC","pmc","PMC SP Procurement",48583.1814299773,"USD"
"Abia","Isiala Ngwa North","Private Sector Case Management","cm_private","CM Private",362202771.534041,"Naira"
"Abia","Isiala Ngwa North","Private Sector Case Management","cm_private","CM Private",226376.732208776,"USD"
"Abia","Isiala Ngwa North","Public Sector Case Management","cm_public","CM AL Distribution",41477989.1509777,"Naira"
"Abia","Isiala Ngwa North","Public Sector Case Management","cm_public","CM AL Distribution",25923.7432193611,"USD"
"Abia","Isiala Ngwa North","Public Sector Case Management","cm_public","CM AL Procurement",165911956.603911,"Naira"
"Abia","Isiala Ngwa North","Public Sector Case Management","cm_public","CM AL Procurement",103694.972877444,"USD"
"Abia","Isiala Ngwa North","Public Sector Case Management","cm_public","CM IV Artesunate Distribution",6597474.76357877,"Naira"
"Abia","Isiala Ngwa North","Public Sector Case Management","cm_public","CM IV Artesunate Distribution",4123.42172723673,"USD"
"Abia","Isiala Ngwa North","Public Sector Case Management","cm_public","CM IV Artesunate Procurement",26389899.0543151,"Naira"
"Abia","Isiala Ngwa North","Public Sector Case Management","cm_public","CM IV Artesunate Procurement",16493.6869089469,"USD"
"Abia","Isiala Ngwa North","Public Sector Case Management","cm_public","CM RAS Distribution",115767.443795399,"Naira"
"Abia","Isiala Ngwa North","Public Sector Case Management","cm_public","CM RAS Distribution",72.3546523721244,"USD"
"Abia","Isiala Ngwa North","Public Sector Case Management","cm_public","CM RAS Prcurement",463069.775181598,"Naira"
"Abia","Isiala Ngwa North","Public Sector Case Management","cm_public","CM RAS Prcurement",289.418609488499,"USD"
"Abia","Isiala Ngwa North","Public Sector Case Management","cm_public","CM RDT Kits Distribution",4915102.21492351,"Naira"
"Abia","Isiala Ngwa North","Public Sector Case Management","cm_public","CM RDT Kits Distribution",3071.93888432719,"USD"
"Abia","Isiala Ngwa North","Public Sector Case Management","cm_public","CM RDT Kits Procurement",19660408.8596941,"Naira"
"Abia","Isiala Ngwa North","Public Sector Case Management","cm_public","CM RDT Kits Procurement",12287.7555373088,"USD"
"Abia","Isiala Ngwa South","IPTp","iptp","IPTp SP Distribution",4180353.00783008,"Naira"
"Abia","Isiala Ngwa South","IPTp","iptp","IPTp SP Distribution",2612.7206298938,"USD"
"Abia","Isiala Ngwa South","IPTp","iptp","IPTp SP Procurement",16721412.0313203,"Naira"
"Abia","Isiala Ngwa South","IPTp","iptp","IPTp SP Procurement",10450.8825195752,"USD"
"Abia","Isiala Ngwa South","ITN Routine","itn_routine","ITN Routine Net Operational",16950650.3483684,"Naira"
"Abia","Isiala Ngwa South","ITN Routine","itn_routine","ITN Routine Net Operational",10594.1564677302,"USD"
"Abia","Isiala Ngwa South","ITN Routine","itn_routine","ITN Routine Net Procurement",67802601.3934735,"Naira"
"Abia","Isiala Ngwa South","ITN Routine","itn_routine","ITN Routine Net Procurement",42376.6258709209,"USD"
"Abia","Isiala Ngwa South","Malaria Vaccine","vacc","Malaria Vaccine Operational",9901631.36447844,"Naira"
"Abia","Isiala Ngwa South","Malaria Vaccine","vacc","Malaria Vaccine Operational",6188.51960279902,"USD"
"Abia","Isiala Ngwa South","Malaria Vaccine","vacc","Malaria Vaccine Procurement",169092136.659853,"Naira"
"Abia","Isiala Ngwa South","Malaria Vaccine","vacc","Malaria Vaccine Procurement",105682.585412408,"USD"
"Abia","Isiala Ngwa South","PMC","pmc","PMC Distribution",2388381.7793898,"Naira"
"Abia","Isiala Ngwa South","PMC","pmc","PMC Distribution",1492.73861211863,"USD"
"Abia","Isiala Ngwa South","PMC","pmc","PMC SP Procurement",68938343.5411451,"Naira"
"Abia","Isiala Ngwa South","PMC","pmc","PMC SP Procurement",43086.4647132157,"USD"
"Abia","Isiala Ngwa South","Private Sector Case Management","cm_private","CM Private",321223033.885157,"Naira"
"Abia","Isiala Ngwa South","Private Sector Case Management","cm_private","CM Private",200764.396178223,"USD"
"Abia","Isiala Ngwa South","Public Sector Case Management","cm_public","CM AL Distribution",36785156.16571,"Naira"
"Abia","Isiala Ngwa South","Public Sector Case Management","cm_public","CM AL Distribution",22990.7226035688,"USD"
"Abia","Isiala Ngwa South","Public Sector Case Management","cm_public","CM AL Procurement",147140624.66284,"Naira"
"Abia","Isiala Ngwa South","Public Sector Case Management","cm_public","CM AL Procurement",91962.890414275,"USD"
"Abia","Isiala Ngwa South","Public Sector Case Management","cm_public","CM IV Artesunate Distribution",5851034.35449102,"Naira"
"Abia","Isiala Ngwa South","Public Sector Case Management","cm_public","CM IV Artesunate Distribution",3656.89647155689,"USD"
"Abia","Isiala Ngwa South","Public Sector Case Management","cm_public","CM IV Artesunate Procurement",23404137.4179641,"Naira"
"Abia","Isiala Ngwa South","Public Sector Case Management","cm_public","CM IV Artesunate Procurement",14627.5858862276,"USD"
"Abia","Isiala Ngwa South","Public Sector Case Management","cm_public","CM RAS Distribution",102669.478103628,"Naira"
"Abia","Isiala Ngwa South","Public Sector Case Management","cm_public","CM RAS Distribution",64.1684238147675,"USD"
"Abia","Isiala Ngwa South","Public Sector Case Management","cm_public","CM RAS Prcurement",410677.912414513,"Naira"
"Abia","Isiala Ngwa South","Public Sector Case Management","cm_public","CM RAS Prcurement",256.673695259071,"USD"
"Abia","Isiala Ngwa South","Public Sector Case Management","cm_public","CM RDT Kits Distribution",4359005.97515169,"Naira"
"Abia","Isiala Ngwa South","Public Sector Case Management","cm_public","CM RDT Kits Distribution",2724.37873446981,"USD"
"Abia","Isiala Ngwa South","Public Sector Case Management","cm_public","CM RDT Kits Procurement",17436023.9006068,"Naira"
"Abia","Isiala Ngwa South","Public Sector Case Management","cm_public","CM RDT Kits Procurement",10897.5149378793,"USD"
"Abia","Isuikwato","IPTp","iptp","IPTp SP Distribution",3542332.93954392,"Naira"
"Abia","Isuikwato","IPTp","iptp","IPTp SP Distribution",2213.95808721495,"USD"
"Abia","Isuikwato","IPTp","iptp","IPTp SP Procurement",14169331.7581757,"Naira"
"Abia","Isuikwato","IPTp","iptp","IPTp SP Procurement",8855.83234885981,"USD"
"Abia","Isuikwato","ITN Routine","itn_routine","ITN Routine Net Operational",14363582.9230806,"Naira"
"Abia","Isuikwato","ITN Routine","itn_routine","ITN Routine Net Operational",8977.23932692538,"USD"
"Abia","Isuikwato","ITN Routine","itn_routine","ITN Routine Net Procurement",57454331.6923225,"Naira"
"Abia","Isuikwato","ITN Routine","itn_routine","ITN Routine Net Procurement",35908.9573077016,"USD"
"Abia","Isuikwato","Malaria Vaccine","vacc","Malaria Vaccine Operational",8390409.82230821,"Naira"
"Abia","Isuikwato","Malaria Vaccine","vacc","Malaria Vaccine Operational",5244.00613894263,"USD"
"Abia","Isuikwato","Malaria Vaccine","vacc","Malaria Vaccine Procurement",143284704.518046,"Naira"
"Abia","Isuikwato","Malaria Vaccine","vacc","Malaria Vaccine Procurement",89552.9403237787,"USD"
"Abia","Isuikwato","PMC","pmc","PMC Distribution",2023858.61516768,"Naira"
"Abia","Isuikwato","PMC","pmc","PMC Distribution",1264.9116344798,"USD"
"Abia","Isuikwato","PMC","pmc","PMC SP Procurement",58416732.9089156,"Naira"
"Abia","Isuikwato","PMC","pmc","PMC SP Procurement",36510.4580680723,"USD"
"Abia","Isuikwato","Private Sector Case Management","cm_private","CM Private",272196853.170128,"Naira"
"Abia","Isuikwato","Private Sector Case Management","cm_private","CM Private",170123.03323133,"USD"
"Abia","Isuikwato","Public Sector Case Management","cm_public","CM AL Distribution",31170877.2268732,"Naira"
"Abia","Isuikwato","Public Sector Case Management","cm_public","CM AL Distribution",19481.7982667958,"USD"
"Abia","Isuikwato","Public Sector Case Management","cm_public","CM AL Procurement",124683508.907493,"Naira"
"Abia","Isuikwato","Public Sector Case Management","cm_public","CM AL Procurement",77927.1930671831,"USD"
"Abia","Isuikwato","Public Sector Case Management","cm_public","CM IV Artesunate Distribution",4958029.06728088,"Naira"
"Abia","Isuikwato","Public Sector Case Management","cm_public","CM IV Artesunate Distribution",3098.76816705055,"USD"
"Abia","Isuikwato","Public Sector Case Management","cm_public","CM IV Artesunate Procurement",19832116.2691235,"Naira"
"Abia","Isuikwato","Public Sector Case Management","cm_public","CM IV Artesunate Procurement",12395.0726682022,"USD"
"Abia","Isuikwato","Public Sector Case Management","cm_public","CM RAS Distribution",86999.703970227,"Naira"
"Abia","Isuikwato","Public Sector Case Management","cm_public","CM RAS Distribution",54.3748149813919,"USD"
"Abia","Isuikwato","Public Sector Case Management","cm_public","CM RAS Prcurement",347998.815880908,"Naira"
"Abia","Isuikwato","Public Sector Case Management","cm_public","CM RAS Prcurement",217.499259925567,"USD"
"Abia","Isuikwato","Public Sector Case Management","cm_public","CM RDT Kits Distribution",3693719.26737442,"Naira"
"Abia","Isuikwato","Public Sector Case Management","cm_public","CM RDT Kits Distribution",2308.57454210901,"USD"
"Abia","Isuikwato","Public Sector Case Management","cm_public","CM RDT Kits Procurement",14774877.0694977,"Naira"
"Abia","Isuikwato","Public Sector Case Management","cm_public","CM RDT Kits Procurement",9234.29816843606,"USD"
"Abia","Obi Nwa","IPTp","iptp","IPTp SP Distribution",5564442.9565038,"Naira"
"Abia","Obi Nwa","IPTp","iptp","IPTp SP Distribution",3477.77684781488,"USD"
"Abia","Obi Nwa","IPTp","iptp","IPTp SP Procurement",22257771.8260152,"Naira"
"Abia","Obi Nwa","IPTp","iptp","IPTp SP Procurement",13911.1073912595,"USD"
"Abia","Obi Nwa","ITN Routine","itn_routine","ITN Routine Net Operational",22562909.582628,"Naira"
"Abia","Obi Nwa","ITN Routine","itn_routine","ITN Routine Net Operational",14101.8184891425,"USD"
"Abia","Obi Nwa","ITN Routine","itn_routine","ITN Routine Net Procurement",90251638.3305121,"Naira"
"Abia","Obi Nwa","ITN Routine","itn_routine","ITN Routine Net Procurement",56407.2739565701,"USD"
