"intervention","full_name","state","value","currency"
"ITN Campaign Urban","ITN Campaign Campaign","Delta",209082.820680121,"USD"
"ITN Campaign Urban","ITN Campaign Campaign","Kaduna",1643517160.12099,"Naira"
"ITN Campaign Urban","ITN Campaign Campaign","Kaduna",1027198.22507562,"USD"
"ITN Campaign Urban","ITN Campaign Campaign","Kano",1495800155.73342,"Naira"
"ITN Campaign Urban","ITN Campaign Campaign","Kano",934875.09733339,"USD"
"ITN Campaign Urban","ITN Campaign Campaign","Sokoto",253473268.232564,"Naira"
"ITN Campaign Urban","ITN Campaign Campaign","Sokoto",158420.792645352,"USD"
"ITN Campaign Urban","ITN Campaign Net Distribution Procurement","Anambra",193545166.167437,"Naira"
"ITN Campaign Urban","ITN Campaign Net Distribution Procurement","Anambra",120965.728854648,"USD"
"ITN Campaign Urban","ITN Campaign Net Distribution Procurement","Delta",114565929.139792,"Naira"
"ITN Campaign Urban","ITN Campaign Net Distribution Procurement","Delta",71603.7057123703,"USD"
"ITN Campaign Urban","ITN Campaign Net Distribution Procurement","Kaduna",562848342.507188,"Naira"
"ITN Campaign Urban","ITN Campaign Net Distribution Procurement","Kaduna",351780.214066992,"USD"
"ITN Campaign Urban","ITN Campaign Net Distribution Procurement","Kano",512260327.305968,"Naira"
"ITN Campaign Urban","ITN Campaign Net Distribution Procurement","Kano",320162.70456623,"USD"
"ITN Campaign Urban","ITN Campaign Net Distribution Procurement","Sokoto",86805913.7782758,"Naira"
"ITN Campaign Urban","ITN Campaign Net Distribution Procurement","Sokoto",54253.6961114224,"USD"
"ITN Campaign Urban","ITN Campaign Net Procurement","Anambra",5404718655.7913,"Naira"
"ITN Campaign Urban","ITN Campaign Net Procurement","Anambra",3377949.15986956,"USD"
"ITN Campaign Urban","ITN Campaign Net Procurement","Delta",3199235748.43624,"Naira"
"ITN Campaign Urban","ITN Campaign Net Procurement","Delta",1999522.34277265,"USD"
"ITN Campaign Urban","ITN Campaign Net Procurement","Kaduna",15717452403.3223,"Naira"
"ITN Campaign Urban","ITN Campaign Net Procurement","Kaduna",9823407.75207642,"USD"
"ITN Campaign Urban","ITN Campaign Net Procurement","Kano",14304789948.7045,"Naira"
"ITN Campaign Urban","ITN Campaign Net Procurement","Kano",8940493.71794034,"USD"
"ITN Campaign Urban","ITN Campaign Net Procurement","Sokoto",2424041638.03595,"Naira"
"ITN Campaign Urban","ITN Campaign Net Procurement","Sokoto",1515026.02377247,"USD"
"ITN Routine","ITN Routine Net Operational","Abia",286680587.485323,"Naira"
"ITN Routine","ITN Routine Net Operational","Abia",179175.367178327,"USD"
"ITN Routine","ITN Routine Net Operational","Adamawa",579240878.433959,"Naira"
"ITN Routine","ITN Routine Net Operational","Adamawa",362025.549021224,"USD"
"ITN Routine","ITN Routine Net Operational","Bauchi",827610308.356939,"Naira"
"ITN Routine","ITN Routine Net Operational","Bauchi",517256.442723087,"USD"
"ITN Routine","ITN Routine Net Operational","Bayelsa",190029807.123224,"Naira"
"ITN Routine","ITN Routine Net Operational","Bayelsa",118768.629452015,"USD"
"ITN Routine","ITN Routine Net Operational","Benue",864285208.545517,"Naira"
"ITN Routine","ITN Routine Net Operational","Benue",540178.255340948,"USD"
"ITN Routine","ITN Routine Net Operational","Borno",593992443.2346,"Naira"
"ITN Routine","ITN Routine Net Operational","Borno",371245.277021625,"USD"
"ITN Routine","ITN Routine Net Operational","Cross River",486836017.693375,"Naira"
"ITN Routine","ITN Routine Net Operational","Cross River",304272.511058359,"USD"
"ITN Routine","ITN Routine Net Operational","Ebonyi",284319769.78915,"Naira"
"ITN Routine","ITN Routine Net Operational","Ebonyi",177699.856118219,"USD"
"ITN Routine","ITN Routine Net Operational","Edo",350349947.207789,"Naira"
"ITN Routine","ITN Routine Net Operational","Edo",218968.717004868,"USD"
"ITN Routine","ITN Routine Net Operational","Ekiti",402335410.752882,"Naira"
"ITN Routine","ITN Routine Net Operational","Ekiti",251459.631720551,"USD"
"ITN Routine","ITN Routine Net Operational","Enugu",289492073.593723,"Naira"
"ITN Routine","ITN Routine Net Operational","Enugu",180932.545996077,"USD"
"ITN Routine","ITN Routine Net Operational","Federal Capital Territory",34718678.7614633,"Naira"
"ITN Routine","ITN Routine Net Operational","Federal Capital Territory",21699.1742259146,"USD"
"ITN Routine","ITN Routine Net Operational","Gombe",365097673.481031,"Naira"
"ITN Routine","ITN Routine Net Operational","Gombe",228186.045925645,"USD"
"ITN Routine","ITN Routine Net Operational","Imo",462004387.067141,"Naira"
"ITN Routine","ITN Routine Net Operational","Imo",288752.741916963,"USD"
"ITN Routine","ITN Routine Net Operational","Jigawa",891559468.737838,"Naira"
"ITN Routine","ITN Routine Net Operational","Jigawa",557224.667961148,"USD"
"ITN Routine","ITN Routine Net Operational","Kogi",688681230.618369,"Naira"
"ITN Routine","ITN Routine Net Operational","Kogi",430425.76913648,"USD"
"ITN Routine","ITN Routine Net Operational","Kwara",287483495.155383,"Naira"
"ITN Routine","ITN Routine Net Operational","Kwara",179677.184472115,"USD"
"ITN Routine","ITN Routine Net Operational","Lagos",157469609.492478,"Naira"
"ITN Routine","ITN Routine Net Operational","Lagos",98418.5059327986,"USD"
"ITN Routine","ITN Routine Net Operational","Ogun",469810941.002826,"Naira"
"ITN Routine","ITN Routine Net Operational","Ogun",293631.838126767,"USD"
"ITN Routine","ITN Routine Net Operational","Ondo",421861977.496782,"Naira"
"ITN Routine","ITN Routine Net Operational","Ondo",263663.735935489,"USD"
"ITN Routine","ITN Routine Net Operational","Osun",330937603.550402,"Naira"
"ITN Routine","ITN Routine Net Operational","Osun",206836.002219002,"USD"
"ITN Routine","ITN Routine Net Operational","Oyo",661516266.945791,"Naira"
"ITN Routine","ITN Routine Net Operational","Oyo",413447.666841119,"USD"
"ITN Routine","ITN Routine Net Operational","Plateau",424367232.864795,"Naira"
"ITN Routine","ITN Routine Net Operational","Plateau",265229.520540497,"USD"
"ITN Routine","ITN Routine Net Operational","Rivers",667434426.74046,"Naira"
"ITN Routine","ITN Routine Net Operational","Rivers",417146.516712788,"USD"
"ITN Routine","ITN Routine Net Operational","Zamfara",701698417.659618,"Naira"
"ITN Routine","ITN Routine Net Operational","Zamfara",438561.511037261,"USD"
"ITN Routine","ITN Routine Net Procurement","Abia",1146722349.94129,"Naira"
"ITN Routine","ITN Routine Net Procurement","Abia",716701.468713309,"USD"
"ITN Routine","ITN Routine Net Procurement","Adamawa",2316963513.73584,"Naira"
"ITN Routine","ITN Routine Net Procurement","Adamawa",1448102.1960849,"USD"
"ITN Routine","ITN Routine Net Procurement","Bauchi",3310441233.42776,"Naira"
"ITN Routine","ITN Routine Net Procurement","Bauchi",2069025.77089235,"USD"
"ITN Routine","ITN Routine Net Procurement","Bayelsa",760119228.492895,"Naira"
"ITN Routine","ITN Routine Net Procurement","Bayelsa",475074.51780806,"USD"
"ITN Routine","ITN Routine Net Procurement","Benue",3457140834.18207,"Naira"
"ITN Routine","ITN Routine Net Procurement","Benue",2160713.02136379,"USD"
"ITN Routine","ITN Routine Net Procurement","Borno",2375969772.9384,"Naira"
"ITN Routine","ITN Routine Net Procurement","Borno",1484981.1080865,"USD"
"ITN Routine","ITN Routine Net Procurement","Cross River",1947344070.7735,"Naira"
"ITN Routine","ITN Routine Net Procurement","Cross River",1217090.04423344,"USD"
"ITN Routine","ITN Routine Net Procurement","Ebonyi",1137279079.1566,"Naira"
"ITN Routine","ITN Routine Net Procurement","Ebonyi",710799.424472876,"USD"
"ITN Routine","ITN Routine Net Procurement","Edo",1401399788.83116,"Naira"
"ITN Routine","ITN Routine Net Procurement","Edo",875874.868019473,"USD"
"ITN Routine","ITN Routine Net Procurement","Ekiti",1609341643.01153,"Naira"
"ITN Routine","ITN Routine Net Procurement","Ekiti",1005838.5268822,"USD"
"ITN Routine","ITN Routine Net Procurement","Enugu",1157968294.37489,"Naira"
"ITN Routine","ITN Routine Net Procurement","Enugu",723730.183984308,"USD"
"ITN Routine","ITN Routine Net Procurement","Federal Capital Territory",138874715.045853,"Naira"
"ITN Routine","ITN Routine Net Procurement","Federal Capital Territory",86796.6969036581,"USD"
"ITN Routine","ITN Routine Net Procurement","Gombe",1460390693.92412,"Naira"
"ITN Routine","ITN Routine Net Procurement","Gombe",912744.183702578,"USD"
"ITN Routine","ITN Routine Net Procurement","Imo",1848017548.26856,"Naira"
"ITN Routine","ITN Routine Net Procurement","Imo",1155010.96766785,"USD"
"ITN Routine","ITN Routine Net Procurement","Jigawa",3566237874.95135,"Naira"
"ITN Routine","ITN Routine Net Procurement","Jigawa",2228898.67184459,"USD"
"ITN Routine","ITN Routine Net Procurement","Kogi",2754724922.47347,"Naira"
"ITN Routine","ITN Routine Net Procurement","Kogi",1721703.07654592,"USD"
"ITN Routine","ITN Routine Net Procurement","Kwara",1149933980.62153,"Naira"
"ITN Routine","ITN Routine Net Procurement","Kwara",718708.737888458,"USD"
"ITN Routine","ITN Routine Net Procurement","Lagos",629878437.969911,"Naira"
"ITN Routine","ITN Routine Net Procurement","Lagos",393674.023731195,"USD"
"ITN Routine","ITN Routine Net Procurement","Ogun",1879243764.01131,"Naira"
"ITN Routine","ITN Routine Net Procurement","Ogun",1174527.35250707,"USD"
"ITN Routine","ITN Routine Net Procurement","Ondo",1687447909.98713,"Naira"
"ITN Routine","ITN Routine Net Procurement","Ondo",1054654.94374196,"USD"
"ITN Routine","ITN Routine Net Procurement","Osun",1323750414.20161,"Naira"
"ITN Routine","ITN Routine Net Procurement","Osun",827344.008876006,"USD"
"ITN Routine","ITN Routine Net Procurement","Oyo",2646065067.78317,"Naira"
"ITN Routine","ITN Routine Net Procurement","Oyo",1653790.66736448,"USD"
"ITN Routine","ITN Routine Net Procurement","Plateau",1697468931.45918,"Naira"
"ITN Routine","ITN Routine Net Procurement","Plateau",1060918.08216199,"USD"
"ITN Routine","ITN Routine Net Procurement","Rivers",2669737706.96184,"Naira"
"ITN Routine","ITN Routine Net Procurement","Rivers",1668586.06685115,"USD"
"ITN Routine","ITN Routine Net Procurement","Zamfara",2806793670.63847,"Naira"
"ITN Routine","ITN Routine Net Procurement","Zamfara",1754246.04414905,"USD"
"ITN Routine Urban","ITN Routine Net Operational","Abia",66272515.2460377,"Naira"
"ITN Routine Urban","ITN Routine Net Operational","Abia",41420.3220287736,"USD"
"ITN Routine Urban","ITN Routine Net Operational","Bauchi",98240689.750737,"Naira"
"ITN Routine Urban","ITN Routine Net Operational","Bauchi",61400.4310942106,"USD"
"ITN Routine Urban","ITN Routine Net Operational","Borno",88338653.1050132,"Naira"
"ITN Routine Urban","ITN Routine Net Operational","Borno",55211.6581906333,"USD"
"ITN Routine Urban","ITN Routine Net Operational","Edo",209135421.200156,"Naira"
"ITN Routine Urban","ITN Routine Net Operational","Edo",130709.638250098,"USD"
"ITN Routine Urban","ITN Routine Net Operational","Enugu",132628203.741892,"Naira"
"ITN Routine Urban","ITN Routine Net Operational","Enugu",82892.6273386822,"USD"
"ITN Routine Urban","ITN Routine Net Operational","Federal Capital Territory",531841537.810141,"Naira"
"ITN Routine Urban","ITN Routine Net Operational","Federal Capital Territory",332400.961131338,"USD"
