"","state","lga","intervention","intervention_mix_to_show","intervention_summary","plan","plan_description"
"28","Benue","Buruku","vacc","Vaccine","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"29","Benue","Buruku","irs","Targeted IRS","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"30","Benue","Buruku","lsm","Targeted LSM","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"31","Benue","Buruku","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"32","Benue","Buruku","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"33","Benue","Gboko","cm_public","CM","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"34","Benue","Gboko","iptp","IPTp","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"35","Benue","Gboko","pmc","PMC","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"36","Benue","Gboko","vacc","Vaccine","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"37","Benue","Gboko","irs","Targeted IRS","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"38","Benue","Gboko","lsm","Targeted LSM","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"39","Benue","Gboko","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"40","Benue","Gboko","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"41","Benue","Guma","cm_public","CM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"42","Benue","Guma","iptp","IPTp","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"43","Benue","Guma","smc","SMC","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"44","Benue","Guma","vacc","Vaccine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"45","Benue","Guma","irs","Targeted IRS","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"46","Benue","Guma","lsm","Targeted LSM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"47","Benue","Guma","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"48","Benue","Guma","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"49","Benue","Gwer East","cm_public","CM","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"50","Benue","Gwer East","iptp","IPTp","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"51","Benue","Gwer East","pmc","PMC","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"52","Benue","Gwer East","vacc","Vaccine","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"53","Benue","Gwer East","irs","Targeted IRS","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"54","Benue","Gwer East","lsm","Targeted LSM","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"55","Benue","Gwer East","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"56","Benue","Gwer East","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"57","Benue","Gwer West","cm_public","CM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"58","Benue","Gwer West","iptp","IPTp","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"59","Benue","Gwer West","smc","SMC","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"60","Benue","Gwer West","vacc","Vaccine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"61","Benue","Gwer West","irs","Targeted IRS","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"62","Benue","Gwer West","lsm","Targeted LSM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"63","Benue","Gwer West","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"64","Benue","Gwer West","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"65","Benue","Katsina Ala","cm_public","CM","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"66","Benue","Katsina Ala","iptp","IPTp","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"67","Benue","Katsina Ala","pmc","PMC","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"68","Benue","Katsina Ala","vacc","Vaccine","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"69","Benue","Katsina Ala","irs","Targeted IRS","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"70","Benue","Katsina Ala","lsm","Targeted LSM","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"71","Benue","Katsina Ala","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"72","Benue","Katsina Ala","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"73","Benue","Konshisha","cm_public","CM","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"74","Benue","Konshisha","iptp","IPTp","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"75","Benue","Konshisha","pmc","PMC","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"76","Benue","Konshisha","vacc","Vaccine","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"77","Benue","Konshisha","irs","Targeted IRS","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"78","Benue","Konshisha","lsm","Targeted LSM","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"79","Benue","Konshisha","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"80","Benue","Konshisha","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"81","Benue","Kwande","cm_public","CM","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"82","Benue","Kwande","iptp","IPTp","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"83","Benue","Kwande","pmc","PMC","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"84","Benue","Kwande","vacc","Vaccine","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"85","Benue","Kwande","irs","Targeted IRS","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"86","Benue","Kwande","lsm","Targeted LSM","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"87","Benue","Kwande","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"88","Benue","Kwande","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"89","Benue","Logo","cm_public","CM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"90","Benue","Logo","iptp","IPTp","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"91","Benue","Logo","smc","SMC","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"92","Benue","Logo","vacc","Vaccine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"93","Benue","Logo","irs","Targeted IRS","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"94","Benue","Logo","lsm","Targeted LSM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"95","Benue","Logo","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"96","Benue","Logo","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"97","Benue","Makurdi","cm_public","CM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"98","Benue","Makurdi","iptp","IPTp","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"99","Benue","Makurdi","smc","SMC","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"100","Benue","Makurdi","vacc","Vaccine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"101","Benue","Makurdi","irs","Targeted IRS","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"102","Benue","Makurdi","lsm","Targeted LSM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"103","Benue","Makurdi","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"104","Benue","Makurdi","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"105","Benue","Obi","cm_public","CM","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"106","Benue","Obi","iptp","IPTp","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"107","Benue","Obi","pmc","PMC","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"108","Benue","Obi","vacc","Vaccine","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"109","Benue","Obi","irs","Targeted IRS","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"110","Benue","Obi","lsm","Targeted LSM","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"111","Benue","Obi","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"112","Benue","Obi","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"113","Benue","Ogbadibo","cm_public","CM","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"114","Benue","Ogbadibo","iptp","IPTp","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"115","Benue","Ogbadibo","pmc","PMC","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"116","Benue","Ogbadibo","vacc","Vaccine","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"117","Benue","Ogbadibo","irs","Targeted IRS","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"118","Benue","Ogbadibo","lsm","Targeted LSM","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"119","Benue","Ogbadibo","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"120","Benue","Ogbadibo","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"121","Benue","Ohimini","cm_public","CM","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"122","Benue","Ohimini","iptp","IPTp","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"123","Benue","Ohimini","pmc","PMC","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"124","Benue","Ohimini","vacc","Vaccine","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"125","Benue","Ohimini","irs","Targeted IRS","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"126","Benue","Ohimini","lsm","Targeted LSM","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"127","Benue","Ohimini","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"128","Benue","Ohimini","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"129","Benue","Oju","cm_public","CM","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"130","Benue","Oju","iptp","IPTp","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"131","Benue","Oju","pmc","PMC","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"132","Benue","Oju","vacc","Vaccine","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"133","Benue","Oju","irs","Targeted IRS","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"134","Benue","Oju","lsm","Targeted LSM","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"135","Benue","Oju","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"136","Benue","Oju","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"137","Benue","Okpokwu","cm_public","CM","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"138","Benue","Okpokwu","iptp","IPTp","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"139","Benue","Okpokwu","pmc","PMC","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"140","Benue","Okpokwu","vacc","Vaccine","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"141","Benue","Okpokwu","irs","Targeted IRS","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"142","Benue","Okpokwu","lsm","Targeted LSM","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"143","Benue","Okpokwu","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"144","Benue","Okpokwu","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"145","Benue","Oturkpo","cm_public","CM","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"146","Benue","Oturkpo","iptp","IPTp","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"147","Benue","Oturkpo","pmc","PMC","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"148","Benue","Oturkpo","vacc","Vaccine","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"149","Benue","Oturkpo","irs","Targeted IRS","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"150","Benue","Oturkpo","lsm","Targeted LSM","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"151","Benue","Oturkpo","itn_routine","ITN Routine","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"152","Benue","Oturkpo","cm_private","CM_PRIVATE","CM + IPTp + PMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"153","Benue","Tarka","cm_public","CM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"154","Benue","Tarka","iptp","IPTp","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"155","Benue","Tarka","smc","SMC","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"156","Benue","Tarka","vacc","Vaccine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"157","Benue","Tarka","irs","Targeted IRS","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"158","Benue","Tarka","lsm","Targeted LSM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
